ID,appointment_ID,dog_ID
71fb0307-de95-41df-97cb-ff200be651a3,23a8bdb2-490a-451f-a005-0f746d29ff21,61b10704-6d04-4d9e-869e-a2d29c8baf82
7810ba93-5c8a-47d1-a233-aeeac6b0689f,14b37b1f-6751-4948-9467-6047acd8292f,dbb6e1c3-e68a-40b2-88f8-4a77cfa08a6b
da5b6f8e-7ffc-476c-a0dd-a202e5a0c3c9,94353470-364f-44d4-91cb-a169e81ea03c,5aed653c-0974-4b37-ac85-97198594ac91
edfd93f4-dec6-4c8b-bb8d-6302b7463da3,c5a1e8e2-8405-4cf0-abba-c5c9cb7ebc7f,57224918-8fa5-40f3-ba72-587c9e768b25
645c0522-5e32-45e9-95b9-fc1220ec6b2b,c5a1e8e2-8405-4cf0-abba-c5c9cb7ebc7f,8f4aee94-cfb4-45b5-9fd8-19d4bb26ae47
037665a6-90a3-4227-95d6-813de10442b4,e124a125-bde5-418e-ac5a-66650de34901,57224918-8fa5-40f3-ba72-587c9e768b25
13d55a0b-961a-4834-914b-e40027948039,e124a125-bde5-418e-ac5a-66650de34901,8f4aee94-cfb4-45b5-9fd8-19d4bb26ae47
aa857e60-ae18-4616-a973-f7056d4f5b0e,cd098cfa-fc51-429f-8a20-2f12305f8a1c,0671fcf7-c92f-45b4-a524-f94496364510
9f42c940-3ce1-400b-b464-bd1df87dfcbc,b887907e-395e-4c17-a569-61b4ad35d1cd,6cdae27e-6166-4c78-9971-69ea74d8a7e6
09ec53ad-3e06-43d0-aede-da87e81138f7,b887907e-395e-4c17-a569-61b4ad35d1cd,cc6b955b-ceda-4a85-aba8-e80e3e271bfa
39fa4729-ef8c-4ff6-b08b-68e0cf91a33b,24cd34df-98c4-44a0-8a47-0cd935a6ac25,d313cf8e-14ff-4c4a-b5e5-f9db614f784c
409a20f6-abc8-40d0-b878-d6c7ec10c117,5f65e54f-b641-46e9-85a1-5e865889bcc4,0671fcf7-c92f-45b4-a524-f94496364510
4646c511-3ded-4144-8caa-e9c5f315e64a,2e0d671b-e812-4671-bb87-c04a0dd55b23,665cbe00-282a-4573-bfa7-73871105d4b8
21ff168c-d04d-4be9-bbf4-7787303eacba,a3324967-d4e2-4b25-99f6-1b6f523b51d3,e046f3f9-fcf0-4992-a5be-d0af4bacf3b9
